timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624858918243,345,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-963,text,true,,265,128,80,80,http://localhost/api/Values/Get,345,0,0
1624858918227,362,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-966,text,true,,265,128,80,80,http://localhost/api/Values/Get,362,0,0
1624858918228,364,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-939,text,true,,265,128,80,80,http://localhost/api/Values/Get,364,0,1
1624858918259,345,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-964,text,true,,265,128,80,80,http://localhost/api/Values/Get,345,0,1
1624858918248,356,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-938,text,true,,265,128,80,80,http://localhost/api/Values/Get,356,0,1
1624858918259,361,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-960,text,true,,265,128,81,81,http://localhost/api/Values/Get,361,0,1
1624858918259,377,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-961,text,true,,265,128,82,82,http://localhost/api/Values/Get,377,0,1
1624858918259,377,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-951,text,true,,265,128,82,82,http://localhost/api/Values/Get,377,0,1
1624858918259,377,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-952,text,true,,265,128,82,82,http://localhost/api/Values/Get,377,0,1
1624858918260,376,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-962,text,true,,265,128,82,82,http://localhost/api/Values/Get,376,0,1
1624858918268,369,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-937,text,true,,265,128,82,82,http://localhost/api/Values/Get,369,0,1
1624858918275,377,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-958,text,true,,265,128,83,83,http://localhost/api/Values/Get,377,0,0
1624858918291,393,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-980,text,true,,265,128,84,84,http://localhost/api/Values/Get,393,0,1
1624858918291,393,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-959,text,true,,265,128,84,84,http://localhost/api/Values/Get,393,0,0
1624858918291,394,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-996,text,true,,265,128,84,84,http://localhost/api/Values/Get,394,0,1
1624858918288,397,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-936,text,true,,265,128,84,84,http://localhost/api/Values/Get,397,0,1
1624858918306,379,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-998,text,true,,265,128,84,84,http://localhost/api/Values/Get,379,0,0
1624858918295,392,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-950,text,true,,265,128,84,84,http://localhost/api/Values/Get,392,0,0
1624858918291,425,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-977,text,true,,265,128,86,86,http://localhost/api/Values/Get,425,0,1
1624858918322,394,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-957,text,true,,265,128,86,86,http://localhost/api/Values/Get,394,0,0
1624858918306,411,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-979,text,true,,265,128,86,86,http://localhost/api/Values/Get,411,0,1
1624858918338,394,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-985,text,true,,265,128,87,87,http://localhost/api/Values/Get,394,0,1
1624858918308,424,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-935,text,true,,265,128,87,87,http://localhost/api/Values/Get,424,0,1
1624858918338,394,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-949,text,true,,265,128,87,87,http://localhost/api/Values/Get,394,0,1
